merchant_name,count of txn,sum of spend txn,sum of mile txn,earliest txn,latest txn,,,
SKOSH,127,3579.39,35797,31/10/2024,02/01/2025,,,
8 Korean BBQ (Shaw Centre),62,10840.25,74055,25/09/2024,11/01/2025,,,
1 x Frying Fish Club (SGD 20),57,1120,7900,30/08/2024,26/01/2025,,,
1 x Frying Fish Club (SGD 100),50,5000,49100,30/08/2024,08/01/2025,,,
Fi Woodfire Thai,31,3820.55,38222,11/10/2024,30/11/2024,,,
Chope: 8 Korean BBQ (The Central),26,-,1950,22/02/2025,16/09/2025,,,
Chope: 8 Korean BBQ @ Orchard (Shaw Centre),19,-,1425,15/02/2025,26/08/2025,,,
heymax.ai Revert Max Miles for refund of voucher Frying Fish Club (SGD 20),17,-,-1700,24/03/2025,24/03/2025,,,
heymax.ai Refund for Frying Fish Club (SGD 20),14,-,12600,24/03/2025,24/03/2025,,,
heymax.ai Revert Max Miles for refund of voucher Frying Fish Club (SGD 100),10,-,-5000,24/03/2025,24/03/2025,,,
heymax.ai Refund for Frying Fish Club (SGD 100),8,-,36000,24/03/2025,24/03/2025,,,
20 x Frying Fish Club (SGD 100),7,14000,700000,13/12/2024,10/01/2025,,,
30 x Frying Fish Club (SGD 100),6,18000,105000,25/10/2024,12/12/2024,,,
Max Miles Reward SKOSH,5,-,1026,12/11/2024,12/11/2024,,,
Chope: SKOSH @ Bencoolen (NAFA),5,-,375,26/03/2025,12/07/2025,,,
2 x Frying Fish Club (SGD 20),5,200,2000,30/08/2024,02/10/2024,,,
8 Korean BBQ,4,196.65,1969,19/09/2024,19/09/2024,,,
Chope: Fi Woodfire Thai (Robertson Quay),3,-,225,17/02/2025,11/05/2025,,,
2 x Frying Fish Club (SGD 100),2,400,4000,30/08/2024,18/10/2024,,,
19 x Frying Fish Club (SGD 100),2,3800,190000,17/12/2024,19/12/2024,,,
7 x Frying Fish Club (SGD 20),1,140,1400,30/08/2024,30/08/2024,,,
4 x Frying Fish Club (SGD 20),1,80,800,23/10/2024,23/10/2024,,,
3 x Frying Fish Club (SGD 20),1,60,600,11/09/2024,11/09/2024,,,
3 x Frying Fish Club (SGD 100),1,300,3000,28/10/2024,28/10/2024,,,
16 x Frying Fish Club (SGD 100),1,1600,80000,02/01/2025,02/01/2025,,,